CNT,Image Path,Launch String,MD5,Signer
412,,,,
112,c:\windows\system32\mswsock.dll,%SystemRoot%\system32\mswsock.dll,CDC18221A46F3752BC17BCE554A8A554,(Verified) Microsoft Windows
92,c:\windows\system32\gpprefcl.dll,C:\Windows\System32\gpprefcl.dll,73FA0C23B7C720CBAB5160A729D14299,(Verified) Microsoft Windows
56,c:\windows\system32\mswsock.dll,%SystemRoot%\system32\mswsock.dll,E9E58466B3E04AE7889F028D25E3D304,(Verified) Microsoft Windows
46,c:\windows\system32\gpprefcl.dll,C:\Windows\System32\gpprefcl.dll,527E269CAAE2AB5BFF5B6FFF7CF6BCEC,(Verified) Microsoft Windows
28,c:\windows\system32\mswsock.dll,%SystemRoot%\system32\mswsock.dll,42AC6DA58141459C2DCE0B06F87BD77D,(Verified) Microsoft Windows
24,c:\windows\system32\edptask.dll,HKCR\CLSID\{61BCD1B9-340C-40EC-9D41-D7F1C0632F05},452AB75A4E359BC889792F50F76958E1,(Verified) Microsoft Windows
23,c:\windows\system32\gpprefcl.dll,C:\Windows\System32\gpprefcl.dll,566DCCA5EF7684FC10B251E517D56243,(Verified) Microsoft Windows
22,c:\windows\system32\devicedirectoryclient.dll,HKCR\CLSID\{AE31B729-D5FD-401E-AF42-784074835AFE},F3C4BCA1EB406C19255A35FD39B4FC95,(Verified) Microsoft Windows
20,c:\windows\system32\twext.dll,HKCR\CLSID\{596AB062-B4D2-4215-9F74-E9109B0A8153},00D70611126FA21B101C2708E42B007C,(Verified) Microsoft Windows
20,c:\windows\system32\gptext.dll,gptext.dll,F168757A03755DCB8C1E9F323E025B71,(Verified) Microsoft Windows
20,c:\windows\system32\ntshrui.dll,HKCR\CLSID\{f81e9010-6ea4-11ce-a7ff-00aa003ca9f6},005B5F4FF4AAB4FC3CDE47762F1616EB,(Verified) Microsoft Windows
16,c:\windows\system32\icsvc.dll,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,3E5F21B792DEB6BE0B144C29377502DE,(Verified) Microsoft Windows
16,c:\windows\system32\svchost.exe,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,8A0A29438052FAED8A2532DA50455756,(Verified) Microsoft Windows Publisher
16,c:\windows\system32\tpmtasks.dll,HKCR\CLSID\{5014B7C8-934E-4262-9816-887FA745A6C4},6F23B8D3F7FD23A46EEE3C38BA462D20,(Verified) Microsoft Windows
15,c:\windows\system32\ieframe.dll,HKCR\CLSID\{CFBFAE00-17A6-11D0-99CB-00C04FD64497},149856EDAC50DD2719750B78B1FC0C58,(Verified) Microsoft Windows
15,c:\windows\system32\msyuv.dll,msyuv.dll,F745EC391FDD60836D98BE15B8B8657E,(Verified) Microsoft Windows
15,c:\windows\system32\dimsjob.dll,HKCR\CLSID\{58FB76B9-AC85-4E55-AC04-427593B1D060},E534219E8F2117FA6175CBA89DD9EF17,(Verified) Microsoft Windows
15,c:\windows\syswow64\msyuv.dll,msyuv.dll,DEA1A55DBBC317DA5AE754A87BC30D2B,(Verified) Microsoft Windows
12,c:\windows\system32\ngctasks.dll,HKCR\CLSID\{47E30D54-DAC1-473A-AFF7-2355BF78881F},6DBEAA7F8AA0AF7CE24A8761528EA35F,(Verified) Microsoft Windows
12,c:\windows\system32\lsass.exe,%SystemRoot%\system32\lsass.exe,568C5CBF9877F6B9E39D1E7CA0FF0A36,(Verified) Microsoft Windows Publisher
12,c:\windows\system32\iedkcs32.dll,C:\Windows\System32\iedkcs32.dll,378759B3AFE427CE5EFD7DC35EB6C53E,(Verified) Microsoft Windows
12,c:\windows\system32\svchost.exe,C:\Windows\system32\svchost.exe -k DevicesFlow,8A0A29438052FAED8A2532DA50455756,(Verified) Microsoft Windows Publisher
12,c:\windows\system32\sppcext.dll,HKCR\CLSID\{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC},E40157DAEB87C6274D2EAF041C0EE591,(Verified) Microsoft Windows
12,c:\windows\system32\edptask.dll,HKCR\CLSID\{61BCD1B9-340C-40EC-9D41-D7F1C0632F05},A72CBF4425C5BA73853316C04445A395,(Verified) Microsoft Windows
12,c:\windows\system32\usoclient.exe,"%systemroot%\system32\usoclient.exe" StartScan,FB4CAFBFA1583763DBB9E3A16AD45B7D,(Verified) Microsoft Windows
12,c:\windows\system32\svchost.exe,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,E1660E3E97A5550C08DA13F6EAD6B37E,(Verified) Microsoft Windows Publisher
12,c:\windows\system32\cscui.dll,HKCR\CLSID\{474C98EE-CF3D-41f5-80E3-4AAB0AB04301},F0DA491C758DC53340E56E1BF5C95CE9,(Verified) Microsoft Windows
12,c:\windows\system32\shell32.dll,HKCR\CLSID\{a2a9545d-a0c2-42b4-9708-a0b2badd77c8},01CE3FDC3AAF5E7E6B43378899AB3953,(Verified) Microsoft Windows
12,c:\windows\system32\cscui.dll,HKCR\CLSID\{7EFA68C6-086B-43e1-A2D2-55A113531240},F0DA491C758DC53340E56E1BF5C95CE9,(Verified) Microsoft Windows
10,c:\windows\system32\auditcse.dll,auditcse.dll,F99FA328708451281039C5A7D183E486,(Verified) Microsoft Windows
10,c:\windows\syswow64\iyuv_32.dll,iyuv_32.dll,E920C7087FDEC9A5DC4E025E9938353F,(Verified) Microsoft Windows
10,c:\windows\system32\ntshrui.dll,HKCR\CLSID\{f81e9010-6ea4-11ce-a7ff-00aa003ca9f6},1831D835B01FC06B0FC452349FBD68A0,(Verified) Microsoft Windows
10,c:\windows\system32\iyuv_32.dll,iyuv_32.dll,23A336AF5C49DED9599262297632E7B7,(Verified) Microsoft Windows
10,c:\windows\system32\rshx32.dll,HKCR\CLSID\{1f2e5c40-9550-11ce-99d2-00aa006e086c},DFB7ACDC0B2C8CD2017D400A567A2C1A,(Verified) Microsoft Windows
10,c:\windows\system32\certprop.dll,%SystemRoot%\system32\svchost.exe -k netsvcs,0AA32D46BBEC1509B13FFBFB00C26116,(Verified) Microsoft Windows
